-1.000000e	-0.500000e
-0.999800e	-0.500174e
-0.999600e	-0.500713e
-0.999400e	-0.500496e
-0.999200e	-0.500124e
-0.999000e	-0.502573e
-0.998800e	-0.500154e
-0.998600e	-0.501769e
-0.998400e	-0.503253e
-0.998200e	-0.501714e
-0.998000e	-0.503146e
-0.997800e	-0.502453e
-0.997600e	-0.504563e
-0.997400e	-0.503337e
-0.997200e	-0.502750e
-0.997000e	-0.505663e
-0.996800e	-0.501859e
-0.996600e	-0.505544e
-0.996400e	-0.507049e
-0.996200e	-0.504739e
-0.996000e	-0.504829e
-0.995800e	-0.504600e
-0.995600e	-0.504115e
-0.995400e	-0.505307e
-0.995200e	-0.504941e
-0.994999e	-0.501836e
-0.994799e	-0.504530e
-0.994599e	-0.506065e
-0.994399e	-0.504906e
-0.994199e	-0.507006e
-0.993999e	-0.505288e
-0.993799e	-0.507224e
-0.993599e	-0.504463e
-0.993399e	-0.505385e
-0.993199e	-0.508367e
-0.992999e	-0.505721e
-0.992799e	-0.507575e
-0.992599e	-0.506934e
-0.992399e	-0.505459e
-0.992199e	-0.508683e
-0.991999e	-0.507458e
-0.991799e	-0.506558e
-0.991599e	-0.509370e
-0.991399e	-0.505546e
-0.991199e	-0.505406e
-0.990999e	-0.506302e
-0.990799e	-0.506564e
-0.990599e	-0.507843e
-0.990399e	-0.506140e
-0.990199e	-0.507597e
-0.989999e	-0.509351e
-0.989799e	-0.508714e
-0.989599e	-0.508788e
-0.989399e	-0.507749e
-0.989199e	-0.506109e
-0.988999e	-0.506766e
-0.988799e	-0.509395e
-0.988599e	-0.505897e
-0.988399e	-0.510087e
-0.988199e	-0.508523e
-0.987999e	-0.507586e
-0.987799e	-0.508693e
-0.987599e	-0.508683e
-0.987399e	-0.507023e
-0.987199e	-0.507464e
-0.986999e	-0.507624e
-0.986799e	-0.508888e
-0.986599e	-0.508810e
-0.986399e	-0.508428e
-0.986199e	-0.509052e
-0.985999e	-0.507383e
-0.985799e	-0.509202e
-0.985599e	-0.509426e
-0.985399e	-0.508118e
-0.985199e	-0.509295e
-0.984998e	-0.509113e
-0.984798e	-0.509203e
-0.984598e	-0.510645e
-0.984398e	-0.510550e
-0.984198e	-0.509123e
-0.983998e	-0.509686e
-0.983798e	-0.510375e
-0.983598e	-0.508525e
-0.983398e	-0.509248e
-0.983198e	-0.509740e
-0.982998e	-0.510754e
-0.982798e	-0.510102e
-0.982598e	-0.509349e
-0.982398e	-0.510302e
-0.982198e	-0.509166e
-0.981998e	-0.510078e
-0.981798e	-0.510363e
-0.981598e	-0.508535e
-0.981398e	-0.510643e
-0.981198e	-0.510015e
-0.980998e	-0.510923e
-0.980798e	-0.511173e
-0.980598e	-0.509982e
-0.980398e	-0.510932e
